tattoo,date,count
84738,2019-04-03,17
84758,2019-04-03,17
84778,2019-04-03,17
86338,2019-04-03,195
86338,2019-04-03,195
80118,2019-04-03,1
13958,2019-04-03,163
81018,2019-04-03,186
86928,2019-04-03,195
86938,2019-04-03,195
86938,2019-04-03,194
25718,2019-04-03,129
20808,2019-04-03,81
86928,2019-04-03,195
48048,2019-04-03,204
66184,2019-04-03,79
66164,2019-04-03,101
66174,2019-04-03,25
80178,2019-04-03,195
30054,2019-04-03,195
86348,2019-04-03,195
86348,2019-04-03,194
80178,2019-04-03,192
86348,2019-04-03,195
EXTRA,2019-04-03,22
30304,2019-04-04,199
89548,2019-04-04,200
53554,2019-04-04,100
52224,2019-04-04,66
82728,2019-04-04,191
30054,2019-04-04,196
82728,2019-04-04,188
30534,2019-04-04,201
84448,2019-04-04,35
84548,2019-04-04,145
81726,2019-04-04,211
81106,2019-04-04,211
69068,2019-04-04,198
83928,2019-04-04,201
25718,2019-04-04,104
20808,2019-04-04,103
70588,2019-04-04,12
44018,2019-04-04,103
70568,2019-04-04,98
49228,2019-04-04,201
27718,2019-04-04,155
19988,2019-04-04,5
90508,2019-04-04,150
81018,2019-04-04,85
70568,2019-04-04,50
70568,2019-04-04,150
38508,2019-04-04,54
80218,2019-04-04,100
51518,2019-04-04,188
80128,2019-04-04,148
80188,2019-04-04,48
80318,2019-04-04,85
80128,2019-04-04,69
80188,2019-04-04,42
30064,2019-04-04,195
30084,2019-04-04,198
82518,2019-04-04,103
80178,2019-04-04,98
84598,2019-04-04,210
80848,2019-04-04,197
81018,2019-04-04,187
81018,2019-04-04,186
86928,2019-04-04,195
80838,2019-04-04,195
38508,2019-04-04,123
83928,2019-04-04,193
66154,2019-04-04,51
66184,2019-04-04,12
66194,2019-04-04,58
66104,2019-04-04,84
69068,2019-04-04,201
79148,2019-04-04,193
79148,2019-04-04,195
79148,2019-04-04,61
80848,2019-04-04,66
79148,2019-04-04,191
25718,2019-04-04,102
20808,2019-04-04,105
83438,2019-04-04,125
76318,2019-04-05,179
76318,2019-04-05,180
82968,2019-04-05,198
30534,2019-04-05,199
30054,2019-04-05,36
30074,2019-04-05,158
30074,2019-04-05,123
30094,2019-04-05,71
